transaction_id,user_id,date,description,amount,type,category,merchant,payment_method
U001-T00035,U001,2026-07-20,AMAZON MONSOON GEAR,1800.0,expense,Shopping,Amazon India,Credit Card
U001-T00036,U001,2026-07-12,FABINDIA CLOTHING,1200.0,expense,Shopping,FabIndia,UPI
U001-T00037,U001,2026-07-18,BESCOM ELECTRICITY,1400.0,expense,Bills,BESCOM,NetBanking
U001-T00038,U001,2026-07-14,PVR CINEMAS,600.0,expense,Entertainment,PVR,Credit Card
U001-T00039,U001,2026-07-16,APOLLO HEALTH CHECK,700.0,expense,Healthcare,Apollo,UPI
U001-T00040,U001,2026-07-10,SAPNA BOOK HOUSE,450.0,expense,Education,Sapna Book House,UPI
U001-T00041,U001,2026-07-22,INDIAN OIL PETROL,480.0,expense,Transport,Indian Oil,Credit Card
U001-T00042,U001,2026-07-25,MAINLAND CHINA DINING,750.0,expense,Food,Mainland China,Credit Card
U001-T00043,U001,2026-07-11,SPOTIFY FAMILY,119.0,expense,Subscriptions,Spotify,UPI
U001-T00044,U001,2026-09-20,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00045,U001,2026-08-01,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00046,U001,2026-09-25,UBER AUTO PAYMENT,28.0,expense,Transport,UBER AUTO,UPI
U001-T00047,U001,2026-09-14,BLINKIT DAILY PAYMENT,30.0,expense,Food,BLINKIT DAILY,UPI
U001-T00048,U001,2026-07-12,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00049,U001,2026-09-10,LOCAL TEA & COFFEE PAYMENT,20.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00050,U001,2026-07-29,BLINKIT DAILY PAYMENT,60.0,expense,Food,BLINKIT DAILY,UPI
U001-T00051,U001,2026-07-01,UBER AUTO PAYMENT,42.0,expense,Transport,UBER AUTO,UPI
U001-T00052,U001,2026-09-28,BLINKIT DAILY PAYMENT,60.0,expense,Food,BLINKIT DAILY,UPI
U001-T00053,U001,2026-07-20,LOCAL BAKERY PAYMENT,25.0,expense,Food,LOCAL BAKERY,UPI
U001-T00054,U001,2026-07-14,CHAI POINT PAYMENT,10.0,expense,Food,CHAI POINT,UPI
U001-T00055,U001,2026-08-15,LOCAL PHARMACY STORE PAYMENT,45.0,expense,Healthcare,LOCAL PHARMACY STORE,UPI
U001-T00056,U001,2026-07-06,UBER AUTO PAYMENT,28.0,expense,Transport,UBER AUTO,UPI
U001-T00057,U001,2026-08-18,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00058,U001,2026-09-19,RAPIDO BIKE PAYMENT,30.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00059,U001,2026-09-12,LOCAL TEA & COFFEE PAYMENT,10.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00060,U001,2026-07-06,RAPIDO BIKE PAYMENT,30.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00061,U001,2026-07-11,LOCAL PHARMACY STORE PAYMENT,18.0,expense,Healthcare,LOCAL PHARMACY STORE,UPI
U001-T00062,U001,2026-08-18,LOCAL BAKERY PAYMENT,25.0,expense,Food,LOCAL BAKERY,UPI
U001-T00063,U001,2026-07-21,ZEPTO QUICK ESSENTIALS PAYMENT,35.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00064,U001,2026-09-24,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00065,U001,2026-09-16,RAPIDO BIKE PAYMENT,22.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00066,U001,2026-07-21,BLINKIT DAILY PAYMENT,60.0,expense,Food,BLINKIT DAILY,UPI
U001-T00067,U001,2026-09-20,AUTO RICKSHAW PAYMENT,30.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00068,U001,2026-09-26,STREET TIFFIN PAYMENT,20.0,expense,Food,STREET TIFFIN,UPI
U001-T00069,U001,2026-07-30,STATIONERY SHOP PAYMENT,30.0,expense,Shopping,STATIONERY SHOP,UPI
U001-T00070,U001,2026-08-21,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00071,U001,2026-09-11,MOBILE TOP-UP PAYMENT,29.0,expense,Bills,MOBILE TOP-UP,UPI
U001-T00072,U001,2026-07-28,RAPIDO BIKE PAYMENT,42.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00073,U001,2026-09-21,BLINKIT DAILY PAYMENT,60.0,expense,Food,BLINKIT DAILY,UPI
U001-T00074,U001,2026-07-18,LOCAL BAKERY PAYMENT,25.0,expense,Food,LOCAL BAKERY,UPI
U001-T00075,U001,2026-09-13,BLINKIT DAILY PAYMENT,80.0,expense,Food,BLINKIT DAILY,UPI
U001-T00076,U001,2026-08-16,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00077,U001,2026-09-04,SWIGGY QUICK BITE PAYMENT,40.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00078,U001,2026-07-15,LOCAL TEA & COFFEE PAYMENT,12.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00079,U001,2026-09-26,BLINKIT DAILY PAYMENT,30.0,expense,Food,BLINKIT DAILY,UPI
U001-T00080,U001,2026-08-19,ZEPTO QUICK ESSENTIALS PAYMENT,75.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00081,U001,2026-09-06,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00082,U001,2026-09-26,AUTO RICKSHAW PAYMENT,40.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00083,U001,2026-09-21,STREET TIFFIN PAYMENT,35.0,expense,Food,STREET TIFFIN,UPI
U001-T00084,U001,2026-08-25,LOCAL TEA & COFFEE PAYMENT,10.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00085,U001,2026-08-03,QUICK UPI TRANSFER PAYMENT,15.0,expense,Other,QUICK UPI TRANSFER,UPI
U001-T00086,U001,2026-09-03,COFFEE & CHAT PAYMENT,45.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00087,U001,2026-09-20,SWIGGY QUICK BITE PAYMENT,60.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00088,U001,2026-07-20,ZEPTO QUICK ESSENTIALS PAYMENT,35.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00089,U001,2026-09-08,QUICK UPI TRANSFER PAYMENT,10.0,expense,Other,QUICK UPI TRANSFER,UPI
U001-T00090,U001,2026-09-15,STREET TIFFIN PAYMENT,20.0,expense,Food,STREET TIFFIN,UPI
U001-T00091,U001,2026-07-15,PARKING FEE PAYMENT,15.0,expense,Other,PARKING FEE,UPI
U001-T00092,U001,2026-07-31,CHAI POINT PAYMENT,10.0,expense,Food,CHAI POINT,UPI
U001-T00093,U001,2026-07-11,UBER AUTO PAYMENT,28.0,expense,Transport,UBER AUTO,UPI
U001-T00094,U001,2026-09-07,KIRANA STORE PAYMENT,25.0,expense,Shopping,KIRANA STORE,UPI
U001-T00095,U001,2026-09-23,BLINKIT DAILY PAYMENT,40.0,expense,Food,BLINKIT DAILY,UPI
U001-T00096,U001,2026-08-03,NAMMA METRO PAYMENT,35.0,expense,Transport,NAMMA METRO,UPI
U001-T00097,U001,2026-07-28,PARKING FEE PAYMENT,20.0,expense,Other,PARKING FEE,UPI
U001-T00098,U001,2026-09-27,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00099,U001,2026-08-21,COMMUNITY CHARITY UPI PAYMENT,51.0,expense,Other,COMMUNITY CHARITY UPI,UPI
U001-T00100,U001,2026-08-17,BLINKIT DAILY PAYMENT,80.0,expense,Food,BLINKIT DAILY,UPI
U001-T00101,U001,2026-07-16,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00102,U001,2026-08-13,CHAI POINT PAYMENT,15.0,expense,Food,CHAI POINT,UPI
U001-T00103,U001,2026-09-14,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00104,U001,2026-09-29,RAPIDO BIKE PAYMENT,22.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00105,U001,2026-07-09,COFFEE & CHAT PAYMENT,45.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00106,U001,2026-07-10,SWIGGY QUICK BITE PAYMENT,85.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00107,U001,2026-09-24,SWIGGY QUICK BITE PAYMENT,60.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00108,U001,2026-09-12,NAMMA METRO PAYMENT,20.0,expense,Transport,NAMMA METRO,UPI
U001-T00109,U001,2026-08-30,STATIONERY SHOP PAYMENT,20.0,expense,Shopping,STATIONERY SHOP,UPI
U001-T00110,U001,2026-07-13,CHAI POINT PAYMENT,30.0,expense,Food,CHAI POINT,UPI
U001-T00111,U001,2026-08-15,BLINKIT DAILY PAYMENT,80.0,expense,Food,BLINKIT DAILY,UPI
U001-T00112,U001,2026-07-07,AUTO RICKSHAW PAYMENT,20.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00113,U001,2026-07-08,ZEPTO QUICK ESSENTIALS PAYMENT,50.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00114,U001,2026-07-14,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00115,U001,2026-09-07,BLINKIT DAILY PAYMENT,80.0,expense,Food,BLINKIT DAILY,UPI
U001-T00116,U001,2026-07-24,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00117,U001,2026-07-10,BLINKIT DAILY PAYMENT,30.0,expense,Food,BLINKIT DAILY,UPI
U001-T00118,U001,2026-07-07,RAPIDO BIKE PAYMENT,15.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00119,U001,2026-07-12,PARKING FEE PAYMENT,10.0,expense,Other,PARKING FEE,UPI
U001-T00120,U001,2026-07-22,ZEPTO QUICK ESSENTIALS PAYMENT,75.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00121,U001,2026-07-28,CAMPUS PHOTOCOPY & NOTES PAYMENT,10.0,expense,Education,CAMPUS PHOTOCOPY & NOTES,UPI
U001-T00122,U001,2026-07-22,ZEPTO QUICK ESSENTIALS PAYMENT,75.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00123,U001,2026-08-03,PARKING FEE PAYMENT,15.0,expense,Other,PARKING FEE,UPI
U001-T00124,U001,2026-08-06,BLINKIT DAILY PAYMENT,80.0,expense,Food,BLINKIT DAILY,UPI
U001-T00125,U001,2026-07-20,LOCAL TEA & COFFEE PAYMENT,12.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00126,U001,2026-07-08,NAMMA METRO PAYMENT,15.0,expense,Transport,NAMMA METRO,UPI
U001-T00127,U001,2026-08-10,CHAI POINT PAYMENT,30.0,expense,Food,CHAI POINT,UPI
U001-T00128,U001,2026-09-03,COFFEE & CHAT PAYMENT,30.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00129,U001,2026-07-08,QUICK UPI TRANSFER PAYMENT,10.0,expense,Other,QUICK UPI TRANSFER,UPI
U001-T00130,U001,2026-07-24,CHAI POINT PAYMENT,10.0,expense,Food,CHAI POINT,UPI
U001-T00131,U001,2026-09-25,CAMPUS PHOTOCOPY & NOTES PAYMENT,50.0,expense,Education,CAMPUS PHOTOCOPY & NOTES,UPI
U001-T00132,U001,2026-07-16,PARKING FEE PAYMENT,20.0,expense,Other,PARKING FEE,UPI
U001-T00133,U001,2026-08-01,NAMMA METRO PAYMENT,15.0,expense,Transport,NAMMA METRO,UPI
U001-T00134,U001,2026-09-18,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00135,U001,2026-08-03,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00136,U001,2026-07-31,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00137,U001,2026-09-24,RAPIDO BIKE PAYMENT,42.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00138,U001,2026-08-10,PARKING FEE PAYMENT,10.0,expense,Other,PARKING FEE,UPI
U001-T00139,U001,2026-07-02,BLINKIT DAILY PAYMENT,30.0,expense,Food,BLINKIT DAILY,UPI
U001-T00140,U001,2026-07-10,NAMMA METRO PAYMENT,25.0,expense,Transport,NAMMA METRO,UPI
U001-T00141,U001,2026-07-17,PARKING FEE PAYMENT,10.0,expense,Other,PARKING FEE,UPI
U001-T00142,U001,2026-08-01,ZEPTO QUICK ESSENTIALS PAYMENT,35.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00143,U001,2026-08-26,LOCAL PHARMACY STORE PAYMENT,45.0,expense,Healthcare,LOCAL PHARMACY STORE,UPI
U001-T00144,U001,2026-09-17,COMMUNITY CHARITY UPI PAYMENT,51.0,expense,Other,COMMUNITY CHARITY UPI,UPI
U001-T00145,U001,2026-09-06,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00146,U001,2026-09-23,CHAI POINT PAYMENT,15.0,expense,Food,CHAI POINT,UPI
U001-T00147,U001,2026-08-03,LOCAL TEA & COFFEE PAYMENT,10.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00148,U001,2026-09-09,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00149,U001,2026-09-16,LOCAL BAKERY PAYMENT,25.0,expense,Food,LOCAL BAKERY,UPI
U001-T00150,U001,2026-07-27,AUTO RICKSHAW PAYMENT,40.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00151,U001,2026-09-03,SWIGGY QUICK BITE PAYMENT,40.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00152,U001,2026-07-12,RAPIDO BIKE PAYMENT,30.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00153,U001,2026-07-06,CHAI POINT PAYMENT,15.0,expense,Food,CHAI POINT,UPI
U001-T00154,U001,2026-09-20,QUICK UPI TRANSFER PAYMENT,15.0,expense,Other,QUICK UPI TRANSFER,UPI
U001-T00155,U001,2026-08-26,NAMMA METRO PAYMENT,35.0,expense,Transport,NAMMA METRO,UPI
U001-T00156,U001,2026-09-10,CHAI POINT PAYMENT,10.0,expense,Food,CHAI POINT,UPI
U001-T00157,U001,2026-09-27,COFFEE & CHAT PAYMENT,20.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00158,U001,2026-08-17,NAMMA METRO PAYMENT,20.0,expense,Transport,NAMMA METRO,UPI
U001-T00159,U001,2026-08-25,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00160,U001,2026-08-16,COFFEE & CHAT PAYMENT,20.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00161,U001,2026-08-15,LOCAL BAKERY PAYMENT,20.0,expense,Food,LOCAL BAKERY,UPI
U001-T00162,U001,2026-09-24,CHAI POINT PAYMENT,30.0,expense,Food,CHAI POINT,UPI
U001-T00163,U001,2026-09-18,UBER AUTO PAYMENT,42.0,expense,Transport,UBER AUTO,UPI
U001-T00164,U001,2026-07-21,QUICK UPI TRANSFER PAYMENT,15.0,expense,Other,QUICK UPI TRANSFER,UPI
U001-T00165,U001,2026-08-22,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00166,U001,2026-08-22,STATIONERY SHOP PAYMENT,20.0,expense,Shopping,STATIONERY SHOP,UPI
U001-T00167,U001,2026-08-04,LOCAL TEA & COFFEE PAYMENT,10.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00168,U001,2026-08-18,CAMPUS PHOTOCOPY & NOTES PAYMENT,50.0,expense,Education,CAMPUS PHOTOCOPY & NOTES,UPI
U001-T00169,U001,2026-07-29,LOCAL TEA & COFFEE PAYMENT,20.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00170,U001,2026-08-14,STREET TIFFIN PAYMENT,25.0,expense,Food,STREET TIFFIN,UPI
U001-T00171,U001,2026-07-29,CHAI POINT PAYMENT,15.0,expense,Food,CHAI POINT,UPI
U001-T00172,U001,2026-08-21,STREET TIFFIN PAYMENT,20.0,expense,Food,STREET TIFFIN,UPI
U001-T00173,U001,2026-08-05,STREET TIFFIN PAYMENT,50.0,expense,Food,STREET TIFFIN,UPI
U001-T00174,U001,2026-09-25,COMMUNITY CHARITY UPI PAYMENT,51.0,expense,Other,COMMUNITY CHARITY UPI,UPI
U001-T00175,U001,2026-08-12,PARKING FEE PAYMENT,10.0,expense,Other,PARKING FEE,UPI
U001-T00176,U001,2026-08-03,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00177,U001,2026-07-05,CHAI POINT PAYMENT,30.0,expense,Food,CHAI POINT,UPI
U001-T00178,U001,2026-08-14,UBER AUTO PAYMENT,60.0,expense,Transport,UBER AUTO,UPI
U001-T00179,U001,2026-08-25,RAPIDO BIKE PAYMENT,15.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00180,U001,2026-08-19,COFFEE & CHAT PAYMENT,30.0,expense,Entertainment,COFFEE & CHAT,UPI
U001-T00181,U001,2026-08-02,CHAI POINT PAYMENT,30.0,expense,Food,CHAI POINT,UPI
U001-T00182,U001,2026-07-01,NAMMA METRO PAYMENT,20.0,expense,Transport,NAMMA METRO,UPI
U001-T00183,U001,2026-08-16,BLINKIT DAILY PAYMENT,60.0,expense,Food,BLINKIT DAILY,UPI
U001-T00184,U001,2026-09-18,STREET TIFFIN PAYMENT,20.0,expense,Food,STREET TIFFIN,UPI
U001-T00185,U001,2026-08-08,SWIGGY QUICK BITE PAYMENT,110.0,expense,Food,SWIGGY QUICK BITE,UPI
U001-T00186,U001,2026-08-11,ZEPTO QUICK ESSENTIALS PAYMENT,50.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00187,U001,2026-09-09,LOCAL TEA & COFFEE PAYMENT,20.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00188,U001,2026-09-24,PARKING FEE PAYMENT,20.0,expense,Other,PARKING FEE,UPI
U001-T00189,U001,2026-07-23,RAPIDO BIKE PAYMENT,30.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00190,U001,2026-08-21,NAMMA METRO PAYMENT,15.0,expense,Transport,NAMMA METRO,UPI
U001-T00191,U001,2026-08-08,STREET TIFFIN PAYMENT,50.0,expense,Food,STREET TIFFIN,UPI
U001-T00192,U001,2026-09-13,RAPIDO BIKE PAYMENT,30.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00193,U001,2026-08-29,BLINKIT DAILY PAYMENT,40.0,expense,Food,BLINKIT DAILY,UPI
U001-T00194,U001,2026-09-04,BLINKIT DAILY PAYMENT,40.0,expense,Food,BLINKIT DAILY,UPI
U001-T00195,U001,2026-09-23,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00196,U001,2026-07-12,STATIONERY SHOP PAYMENT,20.0,expense,Shopping,STATIONERY SHOP,UPI
U001-T00197,U001,2026-09-25,STREET TIFFIN PAYMENT,25.0,expense,Food,STREET TIFFIN,UPI
U001-T00198,U001,2026-07-19,CHAI POINT PAYMENT,15.0,expense,Food,CHAI POINT,UPI
U001-T00199,U001,2026-08-30,RAPIDO BIKE PAYMENT,15.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00200,U001,2026-08-28,ZEPTO QUICK ESSENTIALS PAYMENT,35.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00201,U001,2026-09-30,AUTO RICKSHAW PAYMENT,55.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00202,U001,2026-08-21,LOCAL BAKERY PAYMENT,15.0,expense,Food,LOCAL BAKERY,UPI
U001-T00203,U001,2026-07-14,KIRANA STORE PAYMENT,25.0,expense,Shopping,KIRANA STORE,UPI
U001-T00204,U001,2026-07-23,STATIONERY SHOP PAYMENT,45.0,expense,Shopping,STATIONERY SHOP,UPI
U001-T00205,U001,2026-07-07,NAMMA METRO PAYMENT,15.0,expense,Transport,NAMMA METRO,UPI
U001-T00206,U001,2026-08-28,LOCAL TEA & COFFEE PAYMENT,20.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00207,U001,2026-09-24,NAMMA METRO PAYMENT,25.0,expense,Transport,NAMMA METRO,UPI
U001-T00208,U001,2026-08-26,RAPIDO BIKE PAYMENT,42.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00209,U001,2026-09-09,BLINKIT DAILY PAYMENT,40.0,expense,Food,BLINKIT DAILY,UPI
U001-T00210,U001,2026-08-30,BLINKIT DAILY PAYMENT,40.0,expense,Food,BLINKIT DAILY,UPI
U001-T00211,U001,2026-09-20,LOCAL BAKERY PAYMENT,35.0,expense,Food,LOCAL BAKERY,UPI
U001-T00212,U001,2026-09-19,LOCAL BAKERY PAYMENT,35.0,expense,Food,LOCAL BAKERY,UPI
U001-T00213,U001,2026-07-10,AUTO RICKSHAW PAYMENT,30.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00214,U001,2026-08-04,STREET TIFFIN PAYMENT,20.0,expense,Food,STREET TIFFIN,UPI
U001-T00215,U001,2026-07-18,LOCAL TEA & COFFEE PAYMENT,20.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00216,U001,2026-09-27,LOCAL TEA & COFFEE PAYMENT,12.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00217,U001,2026-07-09,ZEPTO QUICK ESSENTIALS PAYMENT,50.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00218,U001,2026-09-08,BLINKIT DAILY PAYMENT,30.0,expense,Food,BLINKIT DAILY,UPI
U001-T00219,U001,2026-07-27,LOCAL PHARMACY STORE PAYMENT,65.0,expense,Healthcare,LOCAL PHARMACY STORE,UPI
U001-T00220,U001,2026-09-13,PARKING FEE PAYMENT,10.0,expense,Other,PARKING FEE,UPI
U001-T00221,U001,2026-09-12,ZEPTO QUICK ESSENTIALS PAYMENT,25.0,expense,Food,ZEPTO QUICK ESSENTIALS,UPI
U001-T00222,U001,2026-08-15,STREET TIFFIN PAYMENT,50.0,expense,Food,STREET TIFFIN,UPI
U001-T00223,U001,2026-08-23,NAMMA METRO PAYMENT,20.0,expense,Transport,NAMMA METRO,UPI
U001-T00224,U001,2026-09-01,LOCAL BAKERY PAYMENT,35.0,expense,Food,LOCAL BAKERY,UPI
U001-T00225,U001,2026-09-01,CHAI POINT PAYMENT,20.0,expense,Food,CHAI POINT,UPI
U001-T00226,U001,2026-09-24,AUTO RICKSHAW PAYMENT,55.0,expense,Transport,AUTO RICKSHAW,UPI
U001-T00227,U001,2026-07-22,LOCAL PHARMACY STORE PAYMENT,28.0,expense,Healthcare,LOCAL PHARMACY STORE,UPI
U001-T00228,U001,2026-09-18,NAMMA METRO PAYMENT,35.0,expense,Transport,NAMMA METRO,UPI
U001-T00229,U001,2026-09-14,NAMMA METRO PAYMENT,15.0,expense,Transport,NAMMA METRO,UPI
U001-T00230,U001,2026-07-11,RAPIDO BIKE PAYMENT,22.0,expense,Transport,RAPIDO BIKE,UPI
U001-T00231,U001,2026-08-29,LOCAL TEA & COFFEE PAYMENT,15.0,expense,Food,LOCAL TEA & COFFEE,UPI
U001-T00232,U001,2026-08-18,STREET TIFFIN PAYMENT,50.0,expense,Food,STREET TIFFIN,UPI
U001-T00233,U001,2026-08-11,STREET TIFFIN PAYMENT,50.0,expense,Food,STREET TIFFIN,UPI
U001-T00234,U001,2026-08-05,UBER AUTO PAYMENT,75.0,expense,Transport,UBER AUTO,UPI
